run,dataset,wrap,preproc,filter_type,wi,wf,ordFinal,ordUsed,N,hop,harm,harm_max,harm_ratio,MAE,RMSE,Corr,Score,Nuse,key
34,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,64,32,0,3,0.5,50.9146765890576,51.3153719445973,-0.0578613112638743,-4.31410753887,2878,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=64 | hop=32 | harm=0(max3,r0.5)"
35,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,64,32,1,3,0.2,53.4687033921569,53.6577376128102,-0.0972544910025415,-4.55928091437073,2878,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=64 | hop=32 | harm=1(max3,r0.2)"
36,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,64,32,1,3,0.5,52.579833749722,52.8408647290951,-0.0219858814696914,-4.4123397265923,2878,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=64 | hop=32 | harm=1(max3,r0.5)"
37,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,64,16,0,3,0.2,50.4651737028455,50.8253197544911,-0.0583760939525688,-4.27581210424455,2878,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=64 | hop=16 | harm=0(max3,r0.2)"
38,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,64,16,0,3,0.5,50.4651737028455,50.8253197544911,-0.0583760939525688,-4.27581210424455,2878,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=64 | hop=16 | harm=0(max3,r0.5)"
39,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,64,16,1,3,0.2,53.2981187715096,53.4833028796387,-0.212652958475369,-4.66033565970547,2878,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=64 | hop=16 | harm=1(max3,r0.2)"
40,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,64,16,1,3,0.5,52.0265247605564,52.2621298830409,-0.0377001196488365,-4.38109735377802,2878,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=64 | hop=16 | harm=1(max3,r0.5)"
41,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,64,0,3,0.2,69.6731377248165,69.8825648774649,0.177532155899322,-5.63554355959034,2839,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=64 | harm=0(max3,r0.2)"
42,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,64,0,3,0.5,69.6731377248165,69.8825648774649,0.177532155899322,-5.63554355959034,2839,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=64 | harm=0(max3,r0.5)"
43,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,64,1,3,0.2,71.4042703397482,71.4968513061148,0.119789259531621,-5.83365263432628,2839,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=64 | harm=1(max3,r0.2)"
44,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,64,1,3,0.5,71.0984198035743,71.1884743898671,0.22429692645101,-5.70357321005661,2839,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=64 | harm=1(max3,r0.5)"
45,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,32,0,3,0.2,70.0069920665112,70.1479691354114,0.121718098729094,-5.71689714244351,2852,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=32 | harm=0(max3,r0.2)"
46,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,32,0,3,0.5,70.0069920665112,70.1479691354114,0.121718098729094,-5.71689714244351,2852,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=32 | harm=0(max3,r0.5)"
47,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,32,1,3,0.2,71.2543478808714,71.3622206212494,-0.0738400434500887,-6.01529812486864,2852,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=32 | harm=1(max3,r0.2)"
48,POLARH3 x phases_raw,0,none,firpm,0.6,2.5,2,64,128,32,1,3,0.5,70.9316951389452,71.0364376768049,0.0169813212429514,-5.89748469159781,2852,"wrap=0 | pre=none | flt=firpm(0.6-2.5Hz,ord2,used64) | N=128 | hop=32 | harm=1(max3,r0.5)"
49,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,16,0,3,0.2,16.0026546067231,16.9701342010387,-0.136876193586515,-1.50268006395729,2891,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.2)"
50,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,16,0,3,0.5,16.0026546067231,16.9701342010387,-0.136876193586515,-1.50268006395729,2891,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.5)"
51,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,16,1,3,0.2,18.0244703592285,18.6214442792574,-0.0266887478977128,-1.54862707516772,2891,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=16 | harm=1(max3,r0.2)"
52,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,16,1,3,0.5,17.1902436963325,17.8478714716775,-0.0279940823313147,-1.48243531620386,2891,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=16 | harm=1(max3,r0.5)"
53,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,8,0,3,0.2,15.5574550562781,16.3670114094292,-0.143476212852995,-1.46691601264787,2894,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=8 | harm=0(max3,r0.2)"
