
140234,-2.07,-1.86,-0.14,66.64
140254,-2.23,-1.85,-0.22,66.64
140334,-2.77,-1.82,-0.28,66.64
140454,-2.63,-1.77,0.09,66.64
140494,-2.63,-1.75,0.20,66.64
140534,-2.69,-1.73,0.27,66.64
140554,-2.73,-1.72,0.29,66.64
140574,-2.83,-1.70,0.30,66.64
140614,-3.22,-1.67,0.27,66.64
140634,-3.59,-1.65,0.23,66.64
140734,-4.47,-1.58,-0.22,66.64
140774,-4.53,-1.55,-0.45,66.64
140814,-4.59,-1.52,-0.62,66.64
140854,-4.60,-1.50,-0.65,66.64
140874,-4.58,-1.49,-0.60,66.64
140954,-4.69,-1.44,-0.10,66.64
141014,-2.96,-1.39,0.33,66.64
141054,-3.04,-1.35,0.49,66.64
141114,-3.13,-1.26,0.55,66.64
141234,-3.69,-1.00,0.21,66.64
141394,-5.38,-0.59,-0.81,66.64
141454,-5.88,-0.45,-0.77,66.64
141494,-6.01,-0.37,-0.54,66.64
141534,-5.90,-0.29,-0.20,66.64
141554,-5.79,-0.26,-0.01,66.64
141594,-5.68,-0.19,0.37,66.64
141694,-5.29,-0.04,0.96,66.64
141714,-5.15,-0.01,0.99,66.64
141734,-5.03,0.03,0.98,66.64
141774,-4.71,0.09,0.86,66.64
141794,-4.55,0.12,0.76,66.64
141854,-4.14,0.23,0.34,66.64
141874,-4.04,0.27,0.18,66.64
141954,-4.05,0.44,-0.39,66.64
141974,-4.11,0.49,-0.50,66.64
141994,-4.16,0.54,-0.60,66.64
142054,-4.26,0.68,-0.81,66.64
142094,-4.52,0.78,-0.89,66.64
142134,-4.87,0.88,-0.89,66.64
142174,-5.20,0.97,-0.81,66.64
142234,-5.66,1.09,-0.55,66.64
142314,-5.83,1.21,-0.02,66.64
142334,-5.81,1.24,0.13,66.64
142354,-5.77,1.26,0.27,66.64
142434,-5.51,1.32,0.77,66.64
142454,-5.40,1.33,0.87,66.64
142494,-4.93,1.35,0.99,66.64
142514,-4.74,1.36,1.02,66.64
142634,-3.82,1.42,0.68,66.64
142674,-3.95,1.44,0.40,66.64
142714,-4.15,1.46,0.08,66.64
142834,-4.48,1.53,-0.94,66.64
142854,-4.56,1.54,-1.06,66.64
142874,-4.65,1.54,-1.14,66.64
142894,-4.73,1.55,-1.18,66.64
142954,-5.08,1.56,-1.06,66.64
143014,-5.35,1.55,-0.61,66.64
143054,-5.43,1.53,-0.24,66.64
143134,-5.80,1.46,0.38,66.64
143174,-5.74,1.41,0.57,66.64
143194,-5.68,1.39,0.63,66.64
143234,-5.49,1.33,0.70,66.64
143274,-5.14,1.27,0.72,66.64
143294,-4.79,1.23,0.72,66.64
143334,-4.37,1.17,0.70,66.64
143354,-4.54,1.14,0.68,66.64
143434,-6.15,1.02,0.53,66.64
143454,-6.26,0.99,0.44,66.64
143494,-6.36,0.91,0.16,66.64
143574,-6.10,0.75,-0.66,66.64
143614,-6.12,0.67,-0.95,66.64
143654,-6.27,0.58,-0.99,66.64
143674,-6.38,0.54,-0.91,66.64
143734,-6.77,0.40,-0.39,66.64
143754,-6.79,0.36,-0.19,66.64
143774,-6.80,0.31,0.00,66.64
143834,-7.07,0.17,0.33,66.64
143994,-7.55,-0.20,-0.02,66.64
144054,-6.20,-0.34,0.00,66.64
144094,-5.22,-0.42,0.12,66.64
144134,-4.80,-0.48,0.29,66.64
144194,-4.36,-0.53,0.56,66.64
144214,-4.32,-0.54,0.61,66.64
144274,-4.29,-0.53,0.53,66.64
144354,-4.26,-0.46,-0.19,66.64
